odataPlaceholder,ItemInternalId,ID,Title,Branch,Description,Contact,Term_Ends,Holder,Successor,Department,Department_Contact,External,{FilenameWithExtension},{HasAttachments},Assistants
0,Lists%252fHeraldic%2bOffices%252f11_.000,11,Dexter Gauntlet,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Order of Precedence,dextergauntlet@antir.org,2020-01-01,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":47,""Value"":""Ana de la Sara""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":8,""Value"":""Court""}",,False,Dexter Gauntlet,False,"[{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":27,""Value"":""Caius Foxcotte""},{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":101,""Value"":""Phelan Tölusmiðr""}]"
0,Lists%252fHeraldic%2bOffices%252f12_.000,12,Goutte de Sang,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,gouttedesang@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":9,""Value"":""Finngall McKetterick""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Goutte de Sang,False,[]
0,Lists%252fHeraldic%2bOffices%252f13_.000,13,Jambe de Lion,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Silent Heraldry,jambedelion@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":19,""Value"":""Richenda du Jardin""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":8,""Value"":""Court""}",,False,Jambe de Lion,False,[]
0,Lists%252fHeraldic%2bOffices%252f14_.000,14,Lions Blood,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Submissions Lead,lionsblood@antir.org,2021-12-01,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":107,""Value"":""Wilhelm von Dusseldorf""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Submissions""}",True,False,Lions Blood,False,[]
0,Lists%252fHeraldic%2bOffices%252f15_.000,15,Lion's Heart,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,lionsheart@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":13,""Value"":""Basil Dragonstrike""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Lion's Heart,False,[]
0,Lists%252fHeraldic%2bOffices%252f16_.000,16,Lion's Sword,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Ceremonial,lionssword@antir.org,2020-09-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":14,""Value"":""Natasha Orionova Zateeva""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":8,""Value"":""Court""}",,False,Lion's Sword,False,[]
0,Lists%252fHeraldic%2bOffices%252f17_.000,17,Löwenmähne,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Field,lowenmahne@antir.org,2021-07-31,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":20,""Value"":""Sarra the Brave""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":9,""Value"":""Tournament""}",,False,Löwenmähne,False,[]
0,Lists%252fHeraldic%2bOffices%252f18_.000,18,Mano d'Oro,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Court Training,manodoro@antir.org,2019-09-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":16,""Value"":""Lissette de la Rose""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":8,""Value"":""Court""}",,False,Mano d'Oro,False,[]
0,Lists%252fHeraldic%2bOffices%252f19_.000,19,Ounce,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",New Branch Liaison and Support,ounce@antir.org,2019-01-31,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":17,""Value"":""Brendan ap Llewelyn""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":6,""Value"":""Education""}",,False,Ounce,False,[]
0,Lists%252fHeraldic%2bOffices%252f20_.000,20,Pursestrings,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Exchequer,pursestrings@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":18,""Value"":""Genevieve Marie Etiennette de Montagne""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":3,""Value"":""Administration""}",,True,Pursestrings,False,[]
0,Lists%252fHeraldic%2bOffices%252f21_.000,21,Queue Forchée,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Secondary Contingency,queueforchee@antir.org,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":3,""Value"":""Administration""}",True,False,Queue Forchée,False,[]
0,Lists%252fHeraldic%2bOffices%252f22_.000,22,Sable Sable,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Kingdom Scribe,scribe@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":15,""Value"":""Arnora Grimsdottir""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":10,""Value"":""College of Scribes""}",True,True,Sable Sable,False,[]
0,Lists%252fHeraldic%2bOffices%252f23_.000,23,Sable Chime,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,sablechime@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":21,""Value"":""Elizabeth Turner de Carlisle""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Sable Chime,False,[]
0,Lists%252fHeraldic%2bOffices%252f24_.000,24,Silver Rose,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Reports (Inlands),silverrose@antir.org,2020-09-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":22,""Value"":""Fina MacGrioghair""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":3,""Value"":""Administration""}",,False,Silver Rose,False,[]
0,Lists%252fHeraldic%2bOffices%252f25_.000,25,Sinister Gauntlet,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Notifications,sinistergauntlet@antir.org,2019-04-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":23,""Value"":""Vladimir Andreivich Aleksandrov""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Submissions""}",,False,Sinister Gauntlet,False,"[{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":12,""Value"":""Caitrina inghean Aindriasa""},{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":22,""Value"":""Fina MacGrioghair""}]"
0,Lists%252fHeraldic%2bOffices%252f26_.000,26,Town Crier,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Crier,towncrier@antir.org,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":9,""Value"":""Tournament""}",,False,Town Crier,False,[]
0,Lists%252fHeraldic%2bOffices%252f27_.000,27,Bleu Grael,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":3,""Value"":""Summits""}",Principality Herald,summitsherald@antir.org,2021-06-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":17,""Value"":""Brendan ap Llewelyn""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":2,""Value"":""Principality Herald""}",True,False,Bleu Grael,False,[]
0,Lists%252fHeraldic%2bOffices%252f28_.000,28,Silver Yale,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":2,""Value"":""Tir Rígh""}",Principality Herald,herald@tirrigh.org,2021-02-28,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":26,""Value"":""Garet D'Oiron""}","{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":109,""Value"":""Anthony Hawke""}","{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":2,""Value"":""Principality Herald""}",True,True,Silver Yale,False,[]
0,Lists%252fHeraldic%2bOffices%252f29_.000,29,Black Falcon,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Black Falcon,False,[]
0,Lists%252fHeraldic%2bOffices%252f30_.000,30,Black Talbot,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Black Talbot,False,[]
0,Lists%252fHeraldic%2bOffices%252f31_.000,31,Grey Goose Shaft,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Grey Goose Shaft,False,[]
0,Lists%252fHeraldic%2bOffices%252f32_.000,32,Hastae Leonis,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Hastae Leonis,False,[]
0,Lists%252fHeraldic%2bOffices%252f33_.000,33,Iron Chain,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Iron Chain,False,[]
0,Lists%252fHeraldic%2bOffices%252f34_.000,34,Lily Pernicious,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,lilypernicious@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":11,""Value"":""Rhieinwylydd verch Einion Llanaelhaearn""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Lily Pernicious,False,[]
0,Lists%252fHeraldic%2bOffices%252f35_.000,35,Lion et de la Lance,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Lion et de la Lance,False,[]
0,Lists%252fHeraldic%2bOffices%252f36_.000,36,Lions Arrow,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Lions Arrow,False,[]
0,Lists%252fHeraldic%2bOffices%252f37_.000,37,Lion's Rapier,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Lion's Rapier,False,[]
0,Lists%252fHeraldic%2bOffices%252f38_.000,38,Loyall,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Archivist,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Loyall,False,[]
0,Lists%252fHeraldic%2bOffices%252f39_.000,39,Main de Saint Nicholas,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Main de Saint Nicholas,False,[]
0,Lists%252fHeraldic%2bOffices%252f40_.000,40,Monforet,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Monforet,False,[]
0,Lists%252fHeraldic%2bOffices%252f41_.000,41,Muckin' Tall Maul,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Muckin' Tall Maul,False,[]
0,Lists%252fHeraldic%2bOffices%252f42_.000,42,Pernicious Lily,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,perniciouslily@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":57,""Value"":""Zahra bint al-Rammah""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Pernicious Lily,False,[]
0,Lists%252fHeraldic%2bOffices%252f43_.000,43,Rivers,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Rivers,False,[]
0,Lists%252fHeraldic%2bOffices%252f44_.000,44,Shattered Shield,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Shattered Shield,False,[]
0,Lists%252fHeraldic%2bOffices%252f45_.000,45,Silver Lily,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Silver Lily,False,[]
0,Lists%252fHeraldic%2bOffices%252f46_.000,46,Thorasian Cross,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,,,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""-unassigned-""}",,False,Thorasian Cross,False,[]
0,Lists%252fHeraldic%2bOffices%252f48_.000,48,Basilisk,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Wastekeep""}",Baronial Herald,herald.wastekeep@gmail.com,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":95,""Value"":""Dagrún Stjarna""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",,False,Basilisk,False,"[{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":46,""Value"":""Þorkell Palsson""}]"
0,Lists%252fHeraldic%2bOffices%252f50_.000,50,Be Wayre,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":6,""Value"":""Glymm Mere""}",Baronial Herald,GlymmMere.Herald@antir.org,2021-07-31,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":124,""Value"":""Sybil Strangewayes""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",,False,Be Wayre,False,"[{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":125,""Value"":""Hiorulf Sigmundr""}]"
0,Lists%252fHeraldic%2bOffices%252f51_.000,51,Bealidh,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Blatha an Oir""}",Baronial Herald,herald@blathaanoir.org,2020-07-31,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":115,""Value"":""Alizand Thorgeirsson nee LeFevre""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",,False,Bealidh,False,[]
0,Lists%252fHeraldic%2bOffices%252f52_.000,52,Golden Dragon,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":8,""Value"":""Dragon's Laire""}",Baronial Herald,herald@dragonslaire.org,2020-07-01,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":29,""Value"":""Elisabeth de Rossignol""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",,False,Golden Dragon,False,[]
0,Lists%252fHeraldic%2bOffices%252f53_.000,53,Gorges,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":9,""Value"":""Aquaterra""}",Baronial Herald,gorgesherald@aquaterra.antir.sca.org,2021-12-31,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":112,""Value"":""Bjorn Atlason""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",False,False,Gorges,False,[]
0,Lists%252fHeraldic%2bOffices%252f54_.000,54,Mountains,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":10,""Value"":""Three Mountains""}",Baronial Herald,herald@baronyofthreemountains.org,2018-10-31,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":51,""Value"":""Kateline MacFarlane""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",,False,Mountains,False,[]
0,Lists%252fHeraldic%2bOffices%252f56_.000,56,Red Trident,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":11,""Value"":""Stromgard""}",Baronial Herald,stromgardherald@gmail.com,2020-01-01,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":102,""Value"":""Mattias von Schwarzenburg""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",,False,Red Trident,False,[]
0,Lists%252fHeraldic%2bOffices%252f57_.000,57,Three Oaks,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":12,""Value"":""Wealdsmere""}",Baronial Herald,herald@baronyofwealdsmere.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":36,""Value"":""Raven Morgenstern""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Branch herald""}",,False,Three Oaks,False,[]
